year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Manaea, Sean,640455,Padres,SD,L,91.2,1508,2482,15.32098765,0.607574537,SIFT,Sinker,20.7,-23.1,-2.4,-11,13.2,-14.3,-1.2,-8,0.219607843,0.250980392
2022,Valdez, Framber,664285,Astros,HOU,L,93.9,1478,3018,18.62962963,0.489728297,SIFT,Sinker,24.2,-21.1,3,14,14.4,-14.6,-0.2,-2,0.858823529,0.415686275
2022,Quantrill, Cal,615698,Guardians,CLE,R,93.6,1319,2920,18.02469136,0.451712329,SIFT,Sinker,16.3,-20.3,-4,-20,12,-14,-2,-14,0.109803922,0.149019608
2022,Singer, Brady,663903,Royals,KC,R,93.8,1276,2376,14.66666667,0.537037037,SIFT,Sinker,20.6,-22.5,-1.9,-8,14.9,-15.4,-0.5,-3,0.274509804,0.349019608
2022,Davies, Zach,605200,D-backs,AZ,R,89.6,1239,2292,14.14814815,0.540575916,SIFT,Sinker,21.7,-25.1,-3.5,-14,14.8,-14.9,0,0,0.133333333,0.450980392
2022,Corbin, Patrick,571578,Nationals,WSH,L,92.9,1140,2623,16.19135802,0.434616851,SIFT,Sinker,20,-20.7,-0.7,-3,14.3,-14.1,0.2,2,0.42745098,0.501960784
2022,Pérez, Martín,527048,Rangers,TEX,L,92.6,1048,2979,18.38888889,0.351795905,SIFT,Sinker,21.8,-23.5,-1.7,-7,16.4,-15.1,1.3,8,0.290196078,0.717647059
2022,Suárez, Ranger,624133,Phillies,PHI,L,92.5,1030,2564,15.82716049,0.401716069,SIFT,Sinker,25.7,-22.3,3.3,15,16,-14.7,1.3,9,0.874509804,0.717647059
2022,Wood, Alex,622072,Giants,SF,L,92.4,1019,2239,13.82098765,0.45511389,SIFT,Sinker,21.6,-25.8,-4.2,-16,15.6,-15.5,0.1,1,0.082352941,0.478431373
2022,Dunning, Dane,641540,Rangers,TEX,R,89.5,1019,2548,15.72839506,0.399921507,SIFT,Sinker,28.8,-25.5,3.3,13,15.6,-14.9,0.7,4,0.874509804,0.619607843
2022,Cobb, Alex,502171,Giants,SF,R,94.8,1016,2418,14.92592593,0.420181969,SIFT,Sinker,21.4,-21.8,-0.4,-2,15.8,-15.4,0.4,3,0.478431373,0.545098039
2022,Kuhl, Chad,641771,Rockies,COL,R,92.8,1001,2375,14.66049383,0.421473684,SIFT,Sinker,21.8,-22.8,-1,-4,14.4,-15,-0.6,-4,0.384313725,0.337254902
2022,Brubaker, JT,664141,Pirates,PIT,R,93.1,998,2381,14.69753086,0.419151617,SIFT,Sinker,21.7,-21.5,0.2,1,16.1,-14.4,1.7,12,0.568627451,0.823529412
2022,Webb, Logan,657277,Giants,SF,R,91.8,990,3006,18.55555556,0.329341317,SIFT,Sinker,34.8,-26.1,8.7,33,14.8,-15.5,-0.7,-4,0.996078431,0.31372549
2022,Fedde, Erick,607200,Nationals,WSH,R,92.5,970,2420,14.9382716,0.400826446,SIFT,Sinker,22.1,-22.2,0,0,8.8,-14.7,-5.9,-40,0.549019608,0.015686275
2022,Montgomery, Jordan,656756,Cardinals,STL,L,93,938,2715,16.75925926,0.345488029,SIFT,Sinker,21.9,-20.4,1.4,7,16.9,-13.9,3,21,0.721568627,0.968627451
2022,Bassitt, Chris,605135,Mets,NYM,R,92.8,935,2886,17.81481481,0.323977824,SIFT,Sinker,22.5,-23.1,-0.6,-3,16,-15.1,0.9,6,0.454901961,0.643137255
2022,Houser, Adrian,605288,Brewers,MIL,R,93.8,881,1848,11.40740741,0.476731602,SIFT,Sinker,22.6,-21.2,1.4,6,16.2,-14.8,1.5,10,0.721568627,0.784313725
2022,Stroman, Marcus,573186,Cubs,CHC,R,92,876,2181,13.46296296,0.401650619,SIFT,Sinker,29,-25,4,16,9,-15.2,-6.2,-41,0.929411765,0.011764706
2022,Wainwright, Adam,425794,Cardinals,STL,R,88.6,869,3133,19.33950617,0.277369933,SIFT,Sinker,22.7,-24.1,-1.4,-6,13,-13.9,-0.8,-6,0.329411765,0.290196078
2022,Ureña, José,570632,Rockies,COL,R,95.6,843,1622,10.01234568,0.51972873,SIFT,Sinker,22.4,-20.6,1.9,9,14.5,-15.3,-0.8,-5,0.764705882,0.290196078
2022,Finnegan, Kyle,640448,Nationals,WSH,R,97,830,1053,6.5,0.788224122,SIFT,Sinker,13.8,-19.5,-5.7,-29,11.6,-15.2,-3.6,-23,0.035294118,0.066666667
2022,Alcantara, Sandy,645261,Marlins,MIA,R,97.8,804,3248,20.04938272,0.247536946,SIFT,Sinker,21.3,-20.2,1.1,5,17.7,-15.6,2.1,14,0.68627451,0.901960784
2022,Hudson, Dakota,641712,Cardinals,STL,R,91.9,796,2253,13.90740741,0.353306702,SIFT,Sinker,26.3,-21.9,4.5,20,12.5,-14.1,-1.7,-12,0.945098039,0.192156863
2022,Holmes, Clay,605280,Yankees,NYY,R,97,781,981,6.055555556,0.796126402,SIFT,Sinker,23.9,-19.8,4.1,21,16.8,-15.1,1.8,12,0.933333333,0.843137255
2022,Gibson, Kyle,502043,Phillies,PHI,R,91.6,770,2739,16.90740741,0.281124498,SIFT,Sinker,25.4,-21.7,3.7,17,14.5,-14,0.4,3,0.905882353,0.545098039
