year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Rodón, Carlos,607074,Giants,SF,L,95.5,1749,2985,18.42592593,0.585929648,FF,4-Seamer,12,-13,0.9,7,5.9,-6.2,-0.2,-4,0.683823529,0.406862745
2022,Cole, Gerrit,543037,Yankees,NYY,R,97.8,1698,3274,20.20987654,0.518631643,FF,4-Seamer,10.5,-12.9,2.4,19,10.4,-8.1,2.3,28,0.950980392,0.727941176
2022,Gilbert, Logan,669302,Mariners,SEA,R,96.1,1625,3015,18.61111111,0.538971808,FF,4-Seamer,11.9,-12.7,0.8,6,6.4,-6.7,-0.3,-5,0.659313725,0.399509804
2022,Pivetta, Nick,601713,Red Sox,BOS,R,93.4,1572,3082,19.02469136,0.510058404,FF,4-Seamer,10.9,-13.7,2.8,21,5.1,-5.6,-0.6,-10,0.973039216,0.367647059
2022,McKenzie, Triston,663474,Guardians,CLE,R,92.5,1565,2807,17.32716049,0.557534735,FF,4-Seamer,11.6,-14.4,2.9,20,3,-5.7,-2.6,-47,0.977941176,0.198529412
2022,Javier, Cristian,664299,Astros,HOU,R,93.8,1530,2554,15.7654321,0.599060298,FF,4-Seamer,12.2,-15.2,3,20,7.3,-7.9,-0.6,-7,0.982843137,0.367647059
2022,Strider, Spencer,675911,Braves,ATL,R,98.2,1524,2277,14.05555556,0.669301713,FF,4-Seamer,10.7,-12.5,1.8,14,5.1,-7.7,-2.6,-34,0.884803922,0.198529412
2022,Ryan, Joe,657746,Twins,MIN,R,92,1436,2391,14.75925926,0.600585529,FF,4-Seamer,17.5,-17.4,-0.1,0,10.7,-9.3,1.5,16,0.487745098,0.669117647
2022,Gallen, Zac,668678,D-backs,AZ,R,94.1,1411,2935,18.11728395,0.480749574,FF,4-Seamer,13.5,-14.5,1.1,7,3.4,-7.1,-3.7,-52,0.732843137,0.120098039
2022,Urquidy, José,664353,Astros,HOU,R,93.5,1392,2640,16.2962963,0.527272727,FF,4-Seamer,11.7,-14.3,2.7,19,7.7,-6.5,1.2,19,0.965686275,0.62745098
2022,Gausman, Kevin,592332,Blue Jays,TOR,R,95,1358,2783,17.17901235,0.48796263,FF,4-Seamer,13.1,-14.1,1,7,10.5,-7.1,3.4,47,0.715686275,0.855392157
2022,Verlander, Justin,434378,Astros,HOU,R,95,1314,2607,16.09259259,0.504027618,FF,4-Seamer,11.4,-12.2,0.9,7,9.5,-6.2,3.3,54,0.683823529,0.843137255
2022,Giolito, Lucas,608337,White Sox,CWS,R,92.6,1312,2753,16.99382716,0.476571013,FF,4-Seamer,13.9,-14.5,0.6,4,5.4,-5.8,-0.4,-8,0.617647059,0.392156863
2022,Snell, Blake,605483,Padres,SD,L,95.8,1300,2341,14.45061728,0.55531824,FF,4-Seamer,11.2,-12.7,1.5,12,5.2,-5.8,-0.6,-10,0.845588235,0.367647059
2022,Urías, Julio,628711,Dodgers,LAD,L,93.1,1290,2622,16.18518519,0.491990847,FF,4-Seamer,14.9,-15.2,0.3,2,3,-7.2,-4.2,-58,0.575980392,0.078431373
2022,Cease, Dylan,656302,White Sox,CWS,R,96.8,1241,3120,19.25925926,0.39775641,FF,4-Seamer,10.3,-12.8,2.5,19,3,-6.9,-3.9,-56,0.963235294,0.095588235
2022,Kopech, Michael,656629,White Sox,CWS,R,94.9,1239,2011,12.41358025,0.616111387,FF,4-Seamer,11.9,-14.2,2.3,16,9.9,-7.4,2.5,34,0.943627451,0.745098039
2022,Ray, Robbie,592662,Mariners,SEA,L,93.4,1195,3047,18.80864198,0.392189038,FF,4-Seamer,13.4,-14.7,1.3,9,6.7,-6.6,0.1,2,0.803921569,0.468137255
2022,Greene, Hunter,668881,Reds,CIN,R,98.9,1184,2200,13.58024691,0.538181818,FF,4-Seamer,12.1,-12.2,0.1,1,11.7,-8.2,3.5,42,0.534313725,0.857843137
2022,Lauer, Eric,641778,Brewers,MIL,L,93.3,1173,2676,16.51851852,0.438340807,FF,4-Seamer,14.6,-15.1,0.4,3,9.8,-7,2.7,39,0.595588235,0.774509804
2022,Steele, Justin,657006,Cubs,CHC,L,92.2,1155,2032,12.54320988,0.568405512,FF,4-Seamer,19.4,-15.5,-3.9,-25,1.5,-6.6,-8.2,-123,0.041666667,0.00245098
2022,Bubic, Kris,663460,Royals,KC,L,91.9,1143,2262,13.96296296,0.50530504,FF,4-Seamer,15.9,-16.1,0.1,1,7.7,-7.2,0.5,7,0.534313725,0.522058824
2022,López, Pablo,641154,Marlins,MIA,R,93.6,1129,2910,17.96296296,0.387972509,FF,4-Seamer,17.9,-15.4,-2.5,-16,4.5,-7.9,-3.5,-44,0.117647059,0.142156863
2022,Kaprielian, James,621076,Athletics,OAK,R,94,1091,2230,13.7654321,0.489237668,FF,4-Seamer,15.5,-14.5,-1,-7,7.6,-6.9,0.7,10,0.335784314,0.534313725
2022,Mahle, Tyler,641816,Twins,MIN,R,93.2,1084,2101,12.9691358,0.515944788,FF,4-Seamer,13.5,-15.5,2,13,10.2,-7.7,2.5,33,0.916666667,0.745098039
2022,Cortes, Nestor,641482,Yankees,NYY,L,91.8,1078,2465,15.21604938,0.437322515,FF,4-Seamer,12.7,-16,3.2,20,4.1,-7.1,-3,-42,0.987745098,0.166666667
2022,Manoah, Alek,666201,Blue Jays,TOR,R,93.9,1057,2949,18.2037037,0.358426585,FF,4-Seamer,14.3,-14.6,0.3,2,5.5,-7,-1.5,-22,0.575980392,0.284313725
2022,Lynch, Daniel,663738,Royals,KC,L,94,1052,2435,15.0308642,0.432032854,FF,4-Seamer,15.3,-14.5,-0.7,-5,6.9,-7.1,-0.2,-3,0.382352941,0.406862745
2022,Gray, Jon,592351,Rangers,TEX,R,95.9,1042,2062,12.72839506,0.505334627,FF,4-Seamer,17.2,-14.4,-2.8,-20,11.4,-8.4,2.9,35,0.095588235,0.806372549
2022,Garcia, Luis,677651,Astros,HOU,R,94,1038,2468,15.2345679,0.420583468,FF,4-Seamer,13.1,-14.3,1.3,9,7.5,-6.6,0.8,13,0.803921569,0.56127451
2022,Gonzales, Marco,594835,Mariners,SEA,L,88.4,1035,2838,17.51851852,0.364693446,FF,4-Seamer,20.3,-18.1,-2.2,-12,12.2,-7,5.1,73,0.161764706,0.975490196
2022,Rogers, Trevor,669432,Marlins,MIA,L,94.6,1022,1940,11.97530864,0.526804124,FF,4-Seamer,16.7,-14.6,-2,-14,12.6,-7.6,5,66,0.191176471,0.968137255
2022,Nola, Aaron,605400,Phillies,PHI,R,92.8,1015,3039,18.75925926,0.333991445,FF,4-Seamer,16.6,-16.6,0,0,13.1,-8.5,4.6,54,0.504901961,0.946078431
2022,Gray, Josiah,680686,Nationals,WSH,R,94.4,1015,2597,16.0308642,0.39083558,FF,4-Seamer,13,-15.1,2.1,14,10,-8.6,1.4,17,0.928921569,0.654411765
2022,Taillon, Jameson,592791,Yankees,NYY,R,94.1,999,2805,17.31481481,0.356149733,FF,4-Seamer,13.2,-14.4,1.1,8,5.7,-6.8,-1.1,-16,0.732843137,0.325980392
2022,Bieber, Shane,669456,Guardians,CLE,R,91.3,990,2875,17.74691358,0.344347826,FF,4-Seamer,15.3,-16.6,1.3,8,8.5,-7.2,1.3,18,0.803921569,0.642156863
2022,Wheeler, Zack,554430,Phillies,PHI,R,95.9,987,2358,14.55555556,0.418575064,FF,4-Seamer,13.6,-13.8,0.2,2,9.2,-7.8,1.4,18,0.558823529,0.654411765
2022,Quintana, José,500779,Cardinals,STL,L,91.2,981,2724,16.81481481,0.360132159,FF,4-Seamer,17.7,-16.4,-1.3,-8,2.4,-6.9,-4.5,-65,0.276960784,0.058823529
2022,Scherzer, Max,453286,Mets,NYM,R,94,981,2167,13.37654321,0.452699585,FF,4-Seamer,15,-15.1,0.2,1,11.1,-7.9,3.2,40,0.558823529,0.835784314
2022,Anderson, Tyler,542881,Dodgers,LAD,L,90.7,979,2576,15.90123457,0.380046584,FF,4-Seamer,15.3,-16.3,1.1,7,7.5,-6.3,1.1,18,0.732843137,0.617647059
2022,Woodruff, Brandon,605540,Brewers,MIL,R,96.3,973,2538,15.66666667,0.383372734,FF,4-Seamer,12.1,-13.5,1.4,11,6,-7.6,-1.6,-21,0.830882353,0.279411765
2022,Morton, Charlie,450203,Braves,ATL,R,94.9,963,2903,17.91975309,0.331725801,FF,4-Seamer,17.8,-14.9,-2.9,-19,10.5,-8.4,2.1,25,0.093137255,0.705882353
2022,Detmers, Reid,672282,Angels,LAA,L,93.2,961,2181,13.46296296,0.440623567,FF,4-Seamer,14.7,-15.1,0.3,2,10.1,-7.1,2.9,41,0.575980392,0.806372549
2022,Anderson, Ian,666120,Braves,ATL,R,94,960,2005,12.37654321,0.478802993,FF,4-Seamer,14.3,-13.9,-0.4,-3,5.9,-6.2,-0.3,-4,0.433823529,0.399509804
2022,Kirby, George,669923,Mariners,SEA,R,95.3,950,2092,12.91358025,0.454110899,FF,4-Seamer,15.1,-14,-1.1,-8,8.8,-7.4,1.3,18,0.325980392,0.642156863
