year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Morton, Charlie,450203,Braves,ATL,R,81.3,1102,2903,17.91975309,0.379607303,CUKC,Curveball,51.1,-48.7,2.4,5,15.5,10.4,5.1,50,0.710638298,0.923404255
2022,Wainwright, Adam,425794,Cardinals,STL,R,72.8,995,3133,19.33950617,0.317586977,CUKC,Curveball,67.5,-65.6,2,3,16.1,11,5.1,46,0.689361702,0.923404255
2022,Wright, Kyle,657140,Braves,ATL,R,84.7,918,2697,16.64814815,0.340378198,CUKC,Curveball,46.6,-46.1,0.5,1,9,6.9,2.2,31,0.510638298,0.770212766
2022,Valdez, Framber,664285,Astros,HOU,L,79.1,846,3018,18.62962963,0.280318091,CUKC,Curveball,60.5,-54.1,6.4,12,11.7,8.5,3.3,39,0.953191489,0.85106383
2022,Pivetta, Nick,601713,Red Sox,BOS,R,77.2,834,3082,19.02469136,0.270603504,CUKC,Curveball,65.3,-58.4,6.8,12,7.9,8.2,-0.3,-3,0.961702128,0.489361702
2022,Nola, Aaron,605400,Phillies,PHI,R,78.6,806,3039,18.75925926,0.265218822,CUKC,Curveball,55.7,-52.4,3.3,6,14.4,12.3,2.1,17,0.782978723,0.765957447
2022,Quintana, José,500779,Cardinals,STL,L,78.4,766,2724,16.81481481,0.281204112,CUKC,Curveball,51.2,-54.3,-3,-6,7.9,9.9,-2,-21,0.2,0.276595745
2022,Smyly, Drew,592767,Cubs,CHC,L,78.7,740,1814,11.19753086,0.407938258,CUKC,Curveball,44.2,-55,-10.8,-20,2.6,7.1,-9.7,-137,0.008510638,0
2022,Hill, Rich,448179,Red Sox,BOS,L,71.8,727,1990,12.28395062,0.365326633,CUKC,Curveball,67.7,-66.8,0.9,1,17.8,13.1,4.7,36,0.557446809,0.893617021
2022,Fedde, Erick,607200,Nationals,WSH,R,78.4,695,2420,14.9382716,0.287190083,CUKC,Curveball,46.9,-53.9,-7,-13,14.7,10.5,4.3,41,0.068085106,0.885106383
2022,Kluber, Corey,446372,Rays,TB,R,80.7,669,2454,15.14814815,0.272616137,CUKC,Curveball,41,-49.4,-8.4,-17,16.5,10.7,5.8,55,0.046808511,0.953191489
2022,Mikolas, Miles,571945,Cardinals,STL,R,76,666,3152,19.45679012,0.211294416,CUKC,Curveball,63.3,-60.5,2.8,5,8.7,8.5,0.1,2,0.753191489,0.557446809
2022,Gallen, Zac,668678,D-backs,AZ,R,81.6,644,2935,18.11728395,0.219420784,CUKC,Curveball,53.5,-50.4,3,6,6.7,8.3,-1.6,-19,0.765957447,0.336170213
2022,Gray, Josiah,680686,Nationals,WSH,R,82.7,641,2597,16.0308642,0.246823258,CUKC,Curveball,45.4,-46.5,-1.1,-2,2,7,-5,-71,0.370212766,0.076595745
2022,Márquez, Germán,608566,Rockies,COL,R,86.5,627,2839,17.52469136,0.220852413,CUKC,Curveball,38.3,-42.7,-4.4,-10,1.1,4.1,-3,-74,0.157446809,0.165957447
2022,McKenzie, Triston,663474,Guardians,CLE,R,79.4,616,2807,17.32716049,0.219451372,CUKC,Curveball,51.3,-54.3,-3,-6,7.9,7.6,0.3,4,0.2,0.582978723
