year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,López, Pablo,641154,Marlins,MIA,R,87.5,1026,2910,17.96296296,0.35257732,CH,Changeup,32.4,-30.5,1.8,6,17.3,-14.5,2.8,19,0.720689655,0.910344828
2022,Webb, Logan,657277,Giants,SF,R,86.4,937,3006,18.55555556,0.311709914,CH,Changeup,42,-35.7,6.3,18,7.1,-13.6,-6.5,-48,0.979310345,0.006896552
2022,Alcantara, Sandy,645261,Marlins,MIA,R,91.8,896,3248,20.04938272,0.275862069,CH,Changeup,28.8,-27.5,1.3,5,16.8,-15.4,1.4,9,0.665517241,0.686206897
2022,Gonzales, Marco,594835,Mariners,SEA,L,79.4,865,2838,17.51851852,0.304792107,CH,Changeup,36.7,-36.7,-0.1,0,17.3,-15.3,2.1,13,0.527586207,0.8
2022,Pérez, Martín,527048,Rangers,TEX,L,84.4,823,2979,18.38888889,0.276267204,CH,Changeup,29.6,-31.9,-2.4,-7,14.2,-14.1,0.1,1,0.196551724,0.424137931
2022,Anderson, Tyler,542881,Dodgers,LAD,L,79,815,2576,15.90123457,0.316381988,CH,Changeup,34.8,-35.2,-0.4,-1,13.3,-13.4,0,0,0.475862069,0.396551724
2022,Davies, Zach,605200,D-backs,AZ,R,79.7,762,2292,14.14814815,0.332460733,CH,Changeup,34.6,-36.1,-1.5,-4,14,-14.4,-0.4,-3,0.296551724,0.324137931
2022,Springs, Jeffrey,605488,Rays,TB,L,81.1,745,2149,13.2654321,0.346672871,CH,Changeup,34.1,-32.7,1.5,4,13.7,-13.3,0.4,3,0.675862069,0.482758621
2022,Giolito, Lucas,608337,White Sox,CWS,R,81,702,2753,16.99382716,0.254994551,CH,Changeup,30.5,-31.7,-1.2,-4,11.3,-12.6,-1.3,-10,0.348275862,0.217241379
2022,Kelly, Merrill,518876,D-backs,AZ,R,88.6,671,3071,18.95679012,0.218495604,CH,Changeup,32.3,-29.7,2.6,9,16.6,-14.6,2,14,0.803448276,0.782758621
2022,Anderson, Ian,666120,Braves,ATL,R,88.2,666,2005,12.37654321,0.332169576,CH,Changeup,25.3,-27.3,-2,-7,10.4,-13.9,-3.5,-25,0.251724138,0.051724138
2022,Bubic, Kris,663460,Royals,KC,L,80.7,628,2262,13.96296296,0.277630416,CH,Changeup,33.2,-35.4,-2.2,-6,14.3,-14.7,-0.3,-2,0.224137931,0.334482759
2022,McClanahan, Shane,663556,Rays,TB,L,87.7,626,2463,15.2037037,0.254161592,CH,Changeup,25.4,-28.3,-2.9,-10,16,-14,2,14,0.155172414,0.782758621
