year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Burnes, Corbin,669203,Brewers,MIL,R,95.1,1813,3274,20.20987654,0.553756872,FC,Cutter,18.6,-19.3,0.7,4,4.4,2.9,1.5,52,0.664179104,0.776119403
2022,Quantrill, Cal,615698,Guardians,CLE,R,88.5,1052,2920,18.02469136,0.360273973,FC,Cutter,27.8,-27.1,-0.7,-3,2.7,2.9,-0.2,-6,0.402985075,0.507462687
2022,Darvish, Yu,506433,Padres,SD,R,86.5,1046,2971,18.33950617,0.35207001,FC,Cutter,35.3,-29.2,-6.1,-21,5.2,2.8,2.4,85,0.02238806,0.865671642
2022,Bumgarner, Madison,518516,D-backs,AZ,L,87.4,987,2715,16.75925926,0.363535912,FC,Cutter,27.7,-28.1,0.4,1,2.9,2.6,0.2,9,0.611940299,0.589552239
2022,Ashcraft, Graham,668933,Reds,CIN,R,97.3,843,1756,10.83950617,0.480068337,FC,Cutter,19.3,-19.3,0,0,0.6,1,-0.4,-40,0.552238806,0.47761194
2022,Kluber, Corey,446372,Rays,TB,R,86.3,839,2454,15.14814815,0.341890791,FC,Cutter,28.1,-29.2,1.1,4,2.9,2.5,0.3,13,0.71641791,0.619402985
2022,Wainwright, Adam,425794,Cardinals,STL,R,84.3,787,3133,19.33950617,0.251196936,FC,Cutter,32.1,-32.3,0.2,1,6.3,4.5,1.8,40,0.582089552,0.805970149
2022,Shaw, Bryan,543766,Guardians,CLE,R,92.9,738,969,5.981481481,0.761609907,FC,Cutter,23,-22.2,-0.8,-4,4.6,2.1,2.4,113,0.395522388,0.865671642
2022,Rasmussen, Drew,656876,Rays,TB,R,90.3,737,2239,13.82098765,0.329164806,FC,Cutter,29.3,-25,-4.3,-17,1.4,2.2,-0.9,-39,0.074626866,0.373134328
2022,Cortes, Nestor,641482,Yankees,NYY,L,86.9,735,2465,15.21604938,0.298174442,FC,Cutter,27.4,-28.1,0.7,2,4.7,2.1,2.6,119,0.664179104,0.888059701
2022,Garcia, Luis,677651,Astros,HOU,R,85.3,726,2468,15.2345679,0.294165316,FC,Cutter,32.2,-31,-1.1,-4,5.1,4.1,1,24,0.358208955,0.71641791
2022,Pérez, Martín,527048,Rangers,TEX,L,89.8,725,2979,18.38888889,0.243370258,FC,Cutter,21.6,-25,3.4,14,1.1,1.4,-2.5,-174,0.873134328,0.149253731
2022,Flexen, Chris,623167,Mariners,SEA,R,87.4,713,2204,13.60493827,0.323502722,FC,Cutter,28.4,-29,0.6,2,6.6,4.2,2.3,54,0.649253731,0.858208955
2022,Chavez, Jesse,445926,Braves,ATL,R,89.1,704,1202,7.419753086,0.585690516,FC,Cutter,21.5,-25.1,3.6,14,1.9,0.5,-2.4,-496,0.880597015,0.171641791
2022,Thompson, Zach,605507,Pirates,PIT,R,86.8,692,2080,12.83950617,0.332692308,FC,Cutter,32.1,-29.4,-2.7,-9,3.4,4,-0.6,-15,0.149253731,0.432835821
2022,Colomé, Alex,517008,Rockies,COL,R,90.8,678,803,4.956790123,0.844333748,FC,Cutter,26.5,-24.5,-1.9,-8,1.8,1.9,-0.2,-8,0.246268657,0.507462687
2022,Fedde, Erick,607200,Nationals,WSH,R,89.2,668,2420,14.9382716,0.276033058,FC,Cutter,26.7,-26.4,-0.4,-1,1.8,2.3,-0.5,-23,0.470149254,0.455223881
2022,Jansen, Kenley,445276,Braves,ATL,R,92.2,643,1006,6.209876543,0.63916501,FC,Cutter,15.8,-20.5,4.7,23,8.4,4.7,3.8,80,0.962686567,0.992537313
2022,Kremer, Dean,665152,Orioles,BAL,R,88,601,1947,12.01851852,0.308680021,FC,Cutter,27.1,-27.4,0.3,1,4.7,2.7,2,76,0.597014925,0.820895522
2022,Gibson, Kyle,502043,Phillies,PHI,R,89.4,593,2739,16.90740741,0.216502373,FC,Cutter,24.8,-26,1.3,5,0.8,2.7,-1.9,-69,0.723880597,0.208955224
2022,Anderson, Tyler,542881,Dodgers,LAD,L,85.7,566,2576,15.90123457,0.219720497,FC,Cutter,27.2,-30.2,3,10,2.5,3.3,-0.8,-23,0.835820896,0.388059701
2022,Kelly, Merrill,518876,D-backs,AZ,R,90.9,562,3071,18.95679012,0.183002279,FC,Cutter,20.1,-24.1,3.9,16,1.6,1.4,-3,-217,0.895522388,0.089552239
2022,Ramírez, Erasmo,541640,Nationals,WSH,R,89.2,559,1222,7.543209877,0.457446809,FC,Cutter,25.3,-25.9,0.6,3,1.6,1.7,-0.1,-5,0.649253731,0.544776119
2022,Melancon, Mark,453343,D-backs,AZ,R,90.9,556,886,5.469135802,0.627539503,FC,Cutter,23.6,-24.5,0.9,4,1,2,-1,-50,0.686567164,0.358208955
2022,Gonzales, Marco,594835,Mariners,SEA,L,86.1,555,2838,17.51851852,0.195560254,FC,Cutter,25.2,-29.5,4.3,14,2.3,2.8,-5.1,-180,0.925373134,0.014925373
2022,Musgrove, Joe,605397,Padres,SD,R,90.1,551,2834,17.49382716,0.194424841,FC,Cutter,24.5,-25.3,0.8,3,1.6,2.1,-0.5,-26,0.679104478,0.455223881
2022,Clase, Emmanuel,661403,Guardians,CLE,R,99.5,549,921,5.685185185,0.596091205,FC,Cutter,16.5,-16.6,0,0,3.2,3.1,0.2,5,0.552238806,0.589552239
2022,Civale, Aaron,650644,Guardians,CLE,R,86.3,544,1588,9.802469136,0.34256927,FC,Cutter,32.3,-29.6,-2.7,-9,6.6,3.5,3.1,87,0.149253731,0.932835821
2022,Robertson, David,502085,Phillies,PHI,R,93,537,1060,6.543209877,0.506603774,FC,Cutter,14.5,-21.3,6.8,32,0.7,2.2,-1.5,-70,0.992537313,0.276119403
2022,Luetge, Lucas,476595,Yankees,NYY,L,87.6,530,971,5.99382716,0.545829042,FC,Cutter,29.1,-27.9,-1.2,-4,5.1,3.1,2.1,67,0.335820896,0.843283582
2022,Lauer, Eric,641778,Brewers,MIL,L,89.8,517,2676,16.51851852,0.193198804,FC,Cutter,23,-25.5,2.5,10,0.5,2,-2.6,-127,0.820895522,0.134328358
