year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Cease, Dylan,656302,White Sox,CWS,R,87.4,1338,3120,19.25925926,0.428846154,SL,Slider,35,-33.3,1.7,5,4,4.2,-0.2,-6,0.716253444,0.49862259
2022,Ray, Robbie,592662,Mariners,SEA,L,87.2,1133,3047,18.80864198,0.371841155,SL,Slider,28.3,-33.5,-5.2,-16,1.5,4.5,-3,-67,0.027548209,0.201101928
2022,Webb, Logan,657277,Giants,SF,R,82.5,982,3006,18.55555556,0.326679973,SL,Slider,39.4,-37.9,1.6,4,10.2,10.3,-0.1,-1,0.70523416,0.517906336
2022,Rodón, Carlos,607074,Giants,SF,L,85.4,916,2985,18.42592593,0.306867672,SL,Slider,38.6,-35.6,3,8,8.1,5.1,3,58,0.837465565,0.804407713
2022,Junis, Jakob,596001,Giants,SF,R,83.1,909,1802,11.12345679,0.504439512,SL,Slider,38.9,-38.9,0,0,13.3,7.5,5.8,77,0.482093664,0.936639118
2022,Singer, Brady,663903,Royals,KC,R,85.5,903,2376,14.66666667,0.380050505,SL,Slider,36.8,-35.7,1.1,3,3.6,5.9,-2.3,-39,0.644628099,0.253443526
2022,Greene, Hunter,668881,Reds,CIN,R,88.1,900,2200,13.58024691,0.409090909,SL,Slider,32,-32.5,-0.5,-2,4.6,4.2,0.4,10,0.402203857,0.581267218
2022,Kuhl, Chad,641771,Rockies,COL,R,86.5,870,2375,14.66049383,0.366315789,SL,Slider,34.4,-34.5,-0.1,0,3,5.1,-2.1,-42,0.468319559,0.286501377
2022,Bieber, Shane,669456,Guardians,CLE,R,85,826,2875,17.74691358,0.287304348,SL,Slider,35.1,-36.2,-1.1,-3,2.8,6.2,-3.4,-54,0.32231405,0.17630854
2022,Keller, Brad,641745,Royals,KC,R,86.9,821,2275,14.04320988,0.360879121,SL,Slider,38.5,-33.9,4.6,14,5.7,4.2,1.5,35,0.947658402,0.707988981
2022,Wood, Alex,622072,Giants,SF,L,84.5,805,2239,13.82098765,0.359535507,SL,Slider,41.1,-37,4,11,3.1,8,-4.9,-61,0.909090909,0.079889807
2022,Mikolas, Miles,571945,Cardinals,STL,R,87.7,799,3152,19.45679012,0.253489848,SL,Slider,31.1,-32.3,-1.1,-4,3.9,4.3,-0.5,-11,0.32231405,0.438016529
2022,Manoah, Alek,666201,Blue Jays,TOR,R,81.5,798,2949,18.2037037,0.270600203,SL,Slider,41,-40.5,0.5,1,14.5,10,4.5,45,0.575757576,0.884297521
2022,Archer, Chris,502042,Twins,MIN,R,88.7,792,1787,11.0308642,0.443200895,SL,Slider,30.5,-31.6,-1.1,-4,5.2,3.8,1.4,37,0.32231405,0.696969697
2022,Scott, Tanner,656945,Marlins,MIA,L,89.2,791,1273,7.858024691,0.62136685,SL,Slider,35.1,-31.9,3.3,10,5.2,4.1,1.1,26,0.851239669,0.666666667
2022,Kershaw, Clayton,477132,Dodgers,LAD,L,86.6,786,1842,11.37037037,0.426710098,SL,Slider,29.8,-34.2,-4.4,-13,5.4,4.7,0.7,15,0.068870523,0.614325069
2022,Corbin, Patrick,571578,Nationals,WSH,L,81.7,771,2623,16.19135802,0.293938239,SL,Slider,39.6,-40.4,-0.9,-2,2.9,8.3,-5.3,-65,0.347107438,0.060606061
2022,Gray, Josiah,680686,Nationals,WSH,R,85.8,764,2597,16.0308642,0.294185599,SL,Slider,31.6,-35.2,-3.6,-10,1.6,5.2,-3.6,-70,0.112947658,0.162534435
2022,Gray, Jon,592351,Rangers,TEX,R,84.9,744,2062,12.72839506,0.360814743,SL,Slider,32.5,-36.4,-3.8,-11,10,6,4,66,0.101928375,0.856749311
2022,Lynch, Daniel,663738,Royals,KC,L,85.9,740,2435,15.0308642,0.303901437,SL,Slider,33.8,-35,-1.2,-3,0.4,5.2,-4.8,-92,0.305785124,0.08815427
2022,Cole, Gerrit,543037,Yankees,NYY,R,88.7,739,3274,20.20987654,0.225717776,SL,Slider,34.2,-31.9,2.3,7,5,4,0.9,24,0.757575758,0.641873278
2022,Verlander, Justin,434378,Astros,HOU,R,87.4,739,2607,16.09259259,0.283467587,SL,Slider,31,-31.9,-0.9,-3,4,4.3,-0.3,-6,0.347107438,0.473829201
2022,Brubaker, JT,664141,Pirates,PIT,R,86.7,738,2381,14.69753086,0.309953801,SL,Slider,34.3,-34.4,-0.1,0,0.9,4.1,-3.3,-79,0.468319559,0.184573003
2022,Gilbert, Logan,669302,Mariners,SEA,R,86.9,730,3015,18.61111111,0.24212272,SL,Slider,31.6,-33.7,-2.1,-6,6.1,4.6,1.5,33,0.225895317,0.707988981
2022,Lyles, Jordan,543475,Orioles,BAL,R,80,714,2988,18.44444444,0.238955823,SL,Slider,44.2,-42.4,1.8,4,16.8,11.4,5.4,47,0.724517906,0.917355372
2022,Alcantara, Sandy,645261,Marlins,MIA,R,90,714,3248,20.04938272,0.219827586,SL,Slider,30.5,-30.5,0,0,0.3,3.2,-2.8,-89,0.482093664,0.214876033
2022,Sandoval, Patrick,663776,Angels,LAA,L,86.3,713,2456,15.16049383,0.290309446,SL,Slider,35.6,-34.7,0.9,3,6.6,4.6,2.1,45,0.614325069,0.749311295
2022,Dunning, Dane,641540,Rangers,TEX,R,78.7,710,2548,15.72839506,0.278649922,SL,Slider,48.6,-43.2,5.4,12,7.5,12.9,-5.3,-41,0.961432507,0.060606061
2022,Javier, Cristian,664299,Astros,HOU,R,79.8,706,2554,15.7654321,0.276429131,SL,Slider,40.2,-42.3,-2.1,-5,15.1,11.4,3.7,33,0.225895317,0.840220386
2022,Musgrove, Joe,605397,Padres,SD,R,82.9,691,2834,17.49382716,0.243824982,SL,Slider,41.8,-39.2,2.6,7,12.8,6.9,5.9,86,0.804407713,0.94214876
2022,Wisler, Matt,605538,Rays,TB,R,79.8,685,749,4.62345679,0.914552737,SL,Slider,43.7,-42.9,0.7,2,8.1,10.4,-2.2,-22,0.592286501,0.261707989
2022,Muñoz, Andrés,662253,Mariners,SEA,R,88.6,662,1024,6.320987654,0.646484375,SL,Slider,29.7,-32.4,-2.7,-8,4.3,4.7,-0.4,-8,0.17630854,0.454545455
2022,Fulmer, Michael,605242,Twins,MIN,R,90.3,661,1043,6.438271605,0.633748802,SL,Slider,26.7,-29.8,-3.2,-11,4.2,3.5,0.8,22,0.134986226,0.630853994
2022,Okert, Steven,595345,Marlins,MIA,L,82,659,968,5.975308642,0.680785124,SL,Slider,35.9,-39.9,-4.1,-10,10.2,9.5,0.7,7,0.079889807,0.614325069
2022,Hutchison, Drew,571800,Tigers,DET,R,86,653,1759,10.85802469,0.371233655,SL,Slider,37.2,-35.2,2,6,4.5,4.9,-0.4,-8,0.738292011,0.454545455
2022,Giolito, Lucas,608337,White Sox,CWS,R,84.4,649,2753,16.99382716,0.235742826,SL,Slider,37.2,-36.8,0.4,1,3.5,5.7,-2.2,-39,0.570247934,0.261707989
2022,Strider, Spencer,675911,Braves,ATL,R,86.3,643,2277,14.05555556,0.282389108,SL,Slider,35.6,-34.6,1,3,5.2,5.2,0,0,0.633608815,0.526170799
2022,Freeland, Kyle,607536,Rockies,COL,L,85.5,639,2839,17.52469136,0.225079253,SL,Slider,32.6,-35.7,-3,-9,1.4,6,-4.5,-76,0.154269972,0.107438017
