,name,pitcher_id,pitch_hand,avg_speed_FF,pitch_type_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,pitch_type_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,pitch_type_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,pitch_type_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,pitch_type_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,pitch_type_CH,vertical_break_CH,horizonal_break_CH
0, Carlos Rodón,607074,L,95.5,FF,12.0,5.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.8,CUKC,55.3,6.4,85.4,SL,38.6,8.1,0.0,0,0.0,0.0
1, Gerrit Cole,543037,R,97.8,FF,10.5,10.4,0.0,0,0.0,0.0,92.0,FC,24.4,0.5,83.0,CUKC,53.0,10.2,88.7,SL,34.2,5.0,89.7,CH,24.7,14.0
2, Logan Gilbert,669302,R,96.1,FF,11.9,6.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,80.8,CUKC,50.1,4.2,86.9,SL,31.6,6.1,86.2,CH,28.3,15.3
3, Nick Pivetta,601713,R,93.4,FF,10.9,5.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,77.2,CUKC,65.3,7.9,85.8,SL,33.6,5.8,0.0,0,0.0,0.0
4, Triston McKenzie,663474,R,92.5,FF,11.6,3.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.4,CUKC,51.3,7.9,87.3,SL,25.6,5.3,0.0,0,0.0,0.0
5, Cristian Javier,664299,R,93.8,FF,12.2,7.3,0.0,0,0.0,0.0,0.0,0,0.0,0.0,76.5,CUKC,56.4,13.2,79.8,SL,40.2,15.1,0.0,0,0.0,0.0
6, Spencer Strider,675911,R,98.2,FF,10.7,5.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.3,SL,35.6,5.2,0.0,0,0.0,0.0
7, Joe Ryan,657746,R,92.0,FF,17.5,10.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,74.9,CUKC,56.4,10.6,82.2,SL,37.5,3.1,84.6,CH,29.1,17.5
8, Zac Gallen,668678,R,94.1,FF,13.5,3.4,0.0,0,0.0,0.0,89.9,FC,26.7,5.3,81.6,CUKC,53.5,6.7,0.0,0,0.0,0.0,86.2,CH,32.8,11.9
9, José Urquidy,664353,R,93.5,FF,11.7,7.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.1,CUKC,60.3,7.4,80.1,SL,41.9,14.5,86.1,CH,23.6,15.8
10, Kevin Gausman,592332,R,95.0,FF,13.1,10.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.4,SL,35.1,1.1,0.0,0,0.0,0.0
11, Justin Verlander,434378,R,95.0,FF,11.4,9.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.0,CUKC,55.3,6.9,87.4,SL,31.0,4.0,0.0,0,0.0,0.0
12, Lucas Giolito,608337,R,92.6,FF,13.9,5.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,84.4,SL,37.2,3.5,81.0,CH,30.5,11.3
13, Blake Snell,605483,L,95.8,FF,11.2,5.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,81.4,CUKC,51.0,12.2,88.9,SL,29.9,4.1,87.1,CH,26.1,13.7
14, Julio Urías,628711,L,93.1,FF,14.9,3.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,86.2,CH,30.0,13.9
15, Dylan Cease,656302,R,96.8,FF,10.3,3.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,81.1,CUKC,59.1,3.6,87.4,SL,35.0,4.0,0.0,0,0.0,0.0
16, Michael Kopech,656629,R,94.9,FF,11.9,9.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,78.4,CUKC,51.9,8.0,84.3,SL,40.2,4.7,0.0,0,0.0,0.0
