name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Carlos Rodón,95.5,12.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,79.8,55.3,6.4,85.4,38.6,8.1,0.0,0.0,0.0,8
 Gerrit Cole,97.8,10.5,10.4,0.0,0.0,0.0,92.0,24.4,0.5,83.0,53.0,10.2,88.7,34.2,5.0,89.7,24.7,14.0,4
 Logan Gilbert,96.1,11.9,6.4,0.0,0.0,0.0,0.0,0.0,0.0,80.8,50.1,4.2,86.9,31.6,6.1,86.2,28.3,15.3,4
 Nick Pivetta,93.4,10.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,77.2,65.3,7.9,85.8,33.6,5.8,0.0,0.0,0.0,8
 Triston McKenzie,92.5,11.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,79.4,51.3,7.9,87.3,25.6,5.3,0.0,0.0,0.0,8
 Cristian Javier,93.8,12.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,76.5,56.4,13.2,79.8,40.2,15.1,0.0,0.0,0.0,8
 Spencer Strider,98.2,10.7,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.3,35.6,5.2,0.0,0.0,0.0,5
 Joe Ryan,92.0,17.5,10.7,0.0,0.0,0.0,0.0,0.0,0.0,74.9,56.4,10.6,82.2,37.5,3.1,84.6,29.1,17.5,4
 Zac Gallen,94.1,13.5,3.4,0.0,0.0,0.0,89.9,26.7,5.3,81.6,53.5,6.7,0.0,0.0,0.0,86.2,32.8,11.9,0
 José Urquidy,93.5,11.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,78.1,60.3,7.4,80.1,41.9,14.5,86.1,23.6,15.8,4
 Kevin Gausman,95.0,13.1,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4,35.1,1.1,0.0,0.0,0.0,5
