name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Pablo López,López, Pablo,641154,MIA,R,87.5,1026,2910,CH,Changeup,32.4,17.3
 Logan Webb,Webb, Logan,657277,SF,R,86.4,937,3006,CH,Changeup,42.0,7.1
 Sandy Alcantara,Alcantara, Sandy,645261,MIA,R,91.8,896,3248,CH,Changeup,28.8,16.8
 Marco Gonzales,Gonzales, Marco,594835,SEA,L,79.4,865,2838,CH,Changeup,36.7,17.3
 Martín Pérez,Pérez, Martín,527048,TEX,L,84.4,823,2979,CH,Changeup,29.6,14.2
 Tyler Anderson,Anderson, Tyler,542881,LAD,L,79.0,815,2576,CH,Changeup,34.8,13.3
 Zach Davies,Davies, Zach,605200,AZ,R,79.7,762,2292,CH,Changeup,34.6,14.0
 Jeffrey Springs,Springs, Jeffrey,605488,TB,L,81.1,745,2149,CH,Changeup,34.1,13.7
 Lucas Giolito,Giolito, Lucas,608337,CWS,R,81.0,702,2753,CH,Changeup,30.5,11.3
 Merrill Kelly,Kelly, Merrill,518876,AZ,R,88.6,671,3071,CH,Changeup,32.3,16.6
 Ian Anderson,Anderson, Ian,666120,ATL,R,88.2,666,2005,CH,Changeup,25.3,10.4
 Kris Bubic,Bubic, Kris,663460,KC,L,80.7,628,2262,CH,Changeup,33.2,14.3
 Shane McClanahan,McClanahan, Shane,663556,TB,L,87.7,626,2463,CH,Changeup,25.4,16.0
 Devin Williams,Williams, Devin,642207,MIL,R,83.4,618,1068,CH,Changeup,42.7,19.0
 Sean Manaea,Manaea, Sean,640455,SD,L,84.9,609,2482,CH,Changeup,31.2,13.0
 Patrick Sandoval,Sandoval, Patrick,663776,LAA,L,83.7,604,2456,CH,Changeup,30.6,14.3
 Jordan Montgomery,Montgomery, Jordan,656756,STL,L,82.3,602,2715,CH,Changeup,28.5,10.9
 Carlos Carrasco,Carrasco, Carlos,471911,NYM,R,87.4,597,2412,CH,Changeup,34.6,8.1
 Michael Wacha,Wacha, Michael,608379,BOS,R,84.3,580,1949,CH,Changeup,26.2,12.5
 Trevor Rogers,Rogers, Trevor,669432,MIA,L,85.7,567,1940,CH,Changeup,35.6,14.6
 Luis Castillo,Castillo, Luis,622491,SEA,R,88.4,558,2506,CH,Changeup,32.3,17.3
 Ross Stripling,Stripling, Ross,548389,TOR,R,82.6,553,2033,CH,Changeup,29.7,10.9
 Ranger Suárez,Suárez, Ranger,624133,PHI,L,84.9,548,2564,CH,Changeup,32.2,14.8
 Nabil Crismatt,Crismatt, Nabil,622503,SD,R,82.7,532,1062,CH,Changeup,38.8,13.1
 José Quintana,Quintana, José,500779,STL,L,86.4,531,2724,CH,Changeup,30.8,11.7
 Dane Dunning,Dunning, Dane,641540,TEX,R,84.0,513,2548,CH,Changeup,34.7,17.2
 Jalen Beeks,Beeks, Jalen,656222,TB,L,90.3,492,999,CH,Changeup,25.3,16.6
 Zach Plesac,Plesac, Zach,668676,CLE,R,85.7,482,2153,CH,Changeup,24.9,11.4
 Cole Irvin,Irvin, Cole,608344,OAK,L,83.0,479,2610,CH,Changeup,32.5,13.3
 Johnny Cueto,Cueto, Johnny,456501,CWS,R,82.6,478,2372,CH,Changeup,36.0,12.2
 Julio Urías,Urías, Julio,628711,LAD,L,86.2,456,2622,CH,Changeup,30.0,13.9
 Aaron Nola,Nola, Aaron,605400,PHI,R,85.9,448,3039,CH,Changeup,33.8,15.2
 Daniel Lynch,Lynch, Daniel,663738,KC,L,84.8,443,2435,CH,Changeup,27.7,13.2
 Nick Martinez,Martinez, Nick,607259,SD,R,79.7,439,1720,CH,Changeup,38.2,13.4
 Trevor Richards,Richards, Trevor,670950,TOR,R,84.1,437,1163,CH,Changeup,32.6,16.2
 José Suarez,Suarez, José,660761,LAA,L,82.4,435,1783,CH,Changeup,35.4,12.7
 Zac Gallen,Gallen, Zac,668678,AZ,R,86.2,418,2935,CH,Changeup,32.8,11.9
 Kyle Wright,Wright, Kyle,657140,ATL,R,88.1,418,2697,CH,Changeup,35.0,15.9
 José Berríos,Berríos, José,621244,TOR,R,84.6,418,2721,CH,Changeup,33.9,14.4
 Alex Wood,Wood, Alex,622072,SF,L,85.7,415,2239,CH,Changeup,37.0,14.1
 Brandon Woodruff,Woodruff, Brandon,605540,MIL,R,86.1,413,2538,CH,Changeup,28.0,15.8
 Kyle Hendricks,Hendricks, Kyle,543294,CHC,R,79.9,413,1347,CH,Changeup,32.2,12.4
 Noah Syndergaard,Syndergaard, Noah,592789,PHI,R,88.5,408,2026,CH,Changeup,26.8,15.1
 Dylan Bundy,Bundy, Dylan,605164,MIN,R,81.1,408,2180,CH,Changeup,35.3,12.2
 Mike Minor,Minor, Mike,501985,CIN,L,84.2,406,1750,CH,Changeup,28.8,16.7
 Edward Cabrera,Cabrera, Edward,665795,MIA,R,92.5,397,1215,CH,Changeup,23.9,16.1
 Kyle Freeland,Freeland, Kyle,607536,COL,L,84.8,396,2839,CH,Changeup,30.6,10.9
 Max Fried,Fried, Max,608331,ATL,L,86.5,396,2818,CH,Changeup,32.4,12.9
 José Urquidy,Urquidy, José,664353,HOU,R,86.1,392,2640,CH,Changeup,23.6,15.8
 Aaron Ashby,Ashby, Aaron,676879,MIL,L,89.1,389,1878,CH,Changeup,31.2,14.8
 Wil Crowe,Crowe, Wil,640444,PIT,R,85.9,388,1380,CH,Changeup,33.0,10.2
 Jonathan Heasley,Heasley, Jonathan,669169,KC,R,84.9,380,1796,CH,Changeup,27.7,12.9
 Zack Greinke,Greinke, Zack,425844,KC,R,86.5,374,2272,CH,Changeup,32.6,12.8
 Jesús Luzardo,Luzardo, Jesús,666200,MIA,L,87.2,372,1644,CH,Changeup,27.7,15.6
 Michael Lorenzen,Lorenzen, Michael,547179,LAA,R,85.7,369,1654,CH,Changeup,27.8,16.2
 Luis Severino,Severino, Luis,622663,NYY,R,88.8,363,1639,CH,Changeup,25.4,13.6
