name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Charlie Morton,Morton, Charlie,450203,ATL,R,81.3,1102,2903,CUKC,Curveball,51.1,15.5
 Adam Wainwright,Wainwright, Adam,425794,STL,R,72.8,995,3133,CUKC,Curveball,67.5,16.1
 Kyle Wright,Wright, Kyle,657140,ATL,R,84.7,918,2697,CUKC,Curveball,46.6,9.0
 Framber Valdez,Valdez, Framber,664285,HOU,L,79.1,846,3018,CUKC,Curveball,60.5,11.7
 Nick Pivetta,Pivetta, Nick,601713,BOS,R,77.2,834,3082,CUKC,Curveball,65.3,7.9
 Aaron Nola,Nola, Aaron,605400,PHI,R,78.6,806,3039,CUKC,Curveball,55.7,14.4
 José Quintana,Quintana, José,500779,STL,L,78.4,766,2724,CUKC,Curveball,51.2,7.9
 Drew Smyly,Smyly, Drew,592767,CHC,L,78.7,740,1814,CUKC,Curveball,44.2,2.6
 Rich Hill,Hill, Rich,448179,BOS,L,71.8,727,1990,CUKC,Curveball,67.7,17.8
 Erick Fedde,Fedde, Erick,607200,WSH,R,78.4,695,2420,CUKC,Curveball,46.9,14.7
 Corey Kluber,Kluber, Corey,446372,TB,R,80.7,669,2454,CUKC,Curveball,41.0,16.5
 Miles Mikolas,Mikolas, Miles,571945,STL,R,76.0,666,3152,CUKC,Curveball,63.3,8.7
 Zac Gallen,Gallen, Zac,668678,AZ,R,81.6,644,2935,CUKC,Curveball,53.5,6.7
 Josiah Gray,Gray, Josiah,680686,WSH,R,82.7,641,2597,CUKC,Curveball,45.4,2.0
 Germán Márquez,Márquez, Germán,608566,COL,R,86.5,627,2839,CUKC,Curveball,38.3,1.1
 Triston McKenzie,McKenzie, Triston,663474,CLE,R,79.4,616,2807,CUKC,Curveball,51.3,7.9
 Max Fried,Fried, Max,608331,ATL,L,74.3,608,2818,CUKC,Curveball,66.8,9.5
 Jordan Montgomery,Montgomery, Jordan,656756,STL,L,80.2,604,2715,CUKC,Curveball,47.7,2.9
 Corbin Burnes,Burnes, Corbin,669203,MIL,R,81.6,603,3274,CUKC,Curveball,47.5,9.8
 Shane McClanahan,McClanahan, Shane,663556,TB,L,82.0,577,2463,CUKC,Curveball,52.1,7.6
 Austin Voth,Voth, Austin,608723,BAL,R,77.5,554,1762,CUKC,Curveball,57.2,16.0
 Cole Irvin,Irvin, Cole,608344,OAK,L,77.5,541,2610,CUKC,Curveball,49.6,8.2
 Joe Musgrove,Musgrove, Joe,605397,SD,R,81.3,541,2834,CUKC,Curveball,55.5,9.6
 Kyle Freeland,Freeland, Kyle,607536,COL,L,80.9,517,2839,CUKC,Curveball,48.5,4.3
 Nick Lodolo,Lodolo, Nick,666157,CIN,L,81.5,515,1779,CUKC,Curveball,40.0,13.8
 Shane Bieber,Bieber, Shane,669456,CLE,R,82.0,514,2875,CUKC,Curveball,51.6,9.9
 Alex Lange,Lange, Alex,656638,DET,R,85.5,510,1046,CUKC,Curveball,42.9,0.6
 Madison Bumgarner,Bumgarner, Madison,518516,AZ,L,78.6,509,2715,CUKC,Curveball,47.1,9.2
