name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Corbin Burnes,Burnes, Corbin,669203,MIL,R,95.1,1813,3274,FC,Cutter,18.6,4.4
 Cal Quantrill,Quantrill, Cal,615698,CLE,R,88.5,1052,2920,FC,Cutter,27.8,2.7
 Yu Darvish,Darvish, Yu,506433,SD,R,86.5,1046,2971,FC,Cutter,35.3,5.2
 Madison Bumgarner,Bumgarner, Madison,518516,AZ,L,87.4,987,2715,FC,Cutter,27.7,2.9
 Graham Ashcraft,Ashcraft, Graham,668933,CIN,R,97.3,843,1756,FC,Cutter,19.3,0.6
 Corey Kluber,Kluber, Corey,446372,TB,R,86.3,839,2454,FC,Cutter,28.1,2.9
 Adam Wainwright,Wainwright, Adam,425794,STL,R,84.3,787,3133,FC,Cutter,32.1,6.3
 Bryan Shaw,Shaw, Bryan,543766,CLE,R,92.9,738,969,FC,Cutter,23.0,4.6
 Drew Rasmussen,Rasmussen, Drew,656876,TB,R,90.3,737,2239,FC,Cutter,29.3,1.4
 Nestor Cortes,Cortes, Nestor,641482,NYY,L,86.9,735,2465,FC,Cutter,27.4,4.7
 Luis Garcia,Garcia, Luis,677651,HOU,R,85.3,726,2468,FC,Cutter,32.2,5.1
 Martín Pérez,Pérez, Martín,527048,TEX,L,89.8,725,2979,FC,Cutter,21.6,1.1
 Chris Flexen,Flexen, Chris,623167,SEA,R,87.4,713,2204,FC,Cutter,28.4,6.6
 Jesse Chavez,Chavez, Jesse,445926,ATL,R,89.1,704,1202,FC,Cutter,21.5,1.9
 Zach Thompson,Thompson, Zach,605507,PIT,R,86.8,692,2080,FC,Cutter,32.1,3.4
 Alex Colomé,Colomé, Alex,517008,COL,R,90.8,678,803,FC,Cutter,26.5,1.8
 Erick Fedde,Fedde, Erick,607200,WSH,R,89.2,668,2420,FC,Cutter,26.7,1.8
 Kenley Jansen,Jansen, Kenley,445276,ATL,R,92.2,643,1006,FC,Cutter,15.8,8.4
 Dean Kremer,Kremer, Dean,665152,BAL,R,88.0,601,1947,FC,Cutter,27.1,4.7
 Kyle Gibson,Gibson, Kyle,502043,PHI,R,89.4,593,2739,FC,Cutter,24.8,0.8
 Tyler Anderson,Anderson, Tyler,542881,LAD,L,85.7,566,2576,FC,Cutter,27.2,2.5
 Merrill Kelly,Kelly, Merrill,518876,AZ,R,90.9,562,3071,FC,Cutter,20.1,1.6
 Erasmo Ramírez,Ramírez, Erasmo,541640,WSH,R,89.2,559,1222,FC,Cutter,25.3,1.6
 Mark Melancon,Melancon, Mark,453343,AZ,R,90.9,556,886,FC,Cutter,23.6,1.0
 Marco Gonzales,Gonzales, Marco,594835,SEA,L,86.1,555,2838,FC,Cutter,25.2,2.3
 Joe Musgrove,Musgrove, Joe,605397,SD,R,90.1,551,2834,FC,Cutter,24.5,1.6
 Emmanuel Clase,Clase, Emmanuel,661403,CLE,R,99.5,549,921,FC,Cutter,16.5,3.2
 Aaron Civale,Civale, Aaron,650644,CLE,R,86.3,544,1588,FC,Cutter,32.3,6.6
 David Robertson,Robertson, David,502085,PHI,R,93.0,537,1060,FC,Cutter,14.5,0.7
 Lucas Luetge,Luetge, Lucas,476595,NYY,L,87.6,530,971,FC,Cutter,29.1,5.1
 Eric Lauer,Lauer, Eric,641778,MIL,L,89.8,517,2676,FC,Cutter,23.0,0.5
 Collin McHugh,McHugh, Collin,543521,ATL,R,88.9,516,1086,FC,Cutter,25.6,0.8
 Lance Lynn,Lynn, Lance,458681,CWS,R,89.0,491,2022,FC,Cutter,29.0,2.2
 Chris Bassitt,Bassitt, Chris,605135,NYM,R,89.1,483,2886,FC,Cutter,25.6,2.5
 Shane Bieber,Bieber, Shane,669456,CLE,R,86.9,477,2875,FC,Cutter,27.3,2.0
 Johnny Cueto,Cueto, Johnny,456501,CWS,R,86.9,467,2372,FC,Cutter,26.1,3.3
 Spenser Watkins,Watkins, Spenser,657093,BAL,R,87.1,458,1642,FC,Cutter,28.5,6.0
 Tyler Alexander,Alexander, Tyler,641302,DET,L,85.5,440,1591,FC,Cutter,27.8,3.8
 Zac Gallen,Gallen, Zac,668678,AZ,R,89.9,435,2935,FC,Cutter,26.7,5.3
 Ryan Yarbrough,Yarbrough, Ryan,642232,TB,L,82.3,411,1355,FC,Cutter,34.5,1.9
 Kutter Crawford,Crawford, Kutter,676710,BOS,R,88.8,408,1296,FC,Cutter,26.7,4.4
 Keegan Thompson,Thompson, Keegan,624522,CHC,R,89.9,389,1878,FC,Cutter,25.4,5.2
 Austin Voth,Voth, Austin,608723,BAL,R,89.5,383,1762,FC,Cutter,26.6,2.5
 Jake Odorizzi,Odorizzi, Jake,543606,ATL,R,87.6,379,1798,FC,Cutter,23.3,2.6
 José Alvarado,Alvarado, José,621237,PHI,L,93.8,378,881,FC,Cutter,25.5,1.9
 Eduardo Rodriguez,Rodriguez, Eduardo,593958,DET,L,88.7,362,1469,FC,Cutter,24.9,1.1
 A.J. Minter,Minter, A.J.,621345,ATL,L,90.3,357,1111,FC,Cutter,29.0,5.1
 Aaron Loup,Loup, Aaron,571901,LAA,L,84.7,348,967,FC,Cutter,35.6,0.3
 Camilo Doval,Doval, Camilo,666808,SF,R,99.4,342,1121,FC,Cutter,14.7,5.0
 Drew Smyly,Smyly, Drew,592767,CHC,L,88.6,340,1814,FC,Cutter,23.6,3.6
 Michael Wacha,Wacha, Michael,608379,BOS,R,88.8,336,1949,FC,Cutter,23.4,1.2
 Paul Blackburn,Blackburn, Paul,621112,OAK,R,87.2,335,1762,FC,Cutter,30.8,6.0
 Aníbal Sánchez,Sánchez, Aníbal,434671,WSH,R,87.3,330,1232,FC,Cutter,23.5,0.2
 Adam Oller,Oller, Adam,670124,OAK,R,89.5,321,1294,FC,Cutter,24.2,1.3
 Zack Greinke,Greinke, Zack,425844,KC,R,85.8,316,2272,FC,Cutter,30.9,6.7
 Framber Valdez,Valdez, Framber,664285,HOU,L,83.0,311,3018,FC,Cutter,45.0,3.7
 Jameson Taillon,Taillon, Jameson,592791,NYY,R,90.7,310,2805,FC,Cutter,20.7,2.9
 Nick Martinez,Martinez, Nick,607259,SD,R,88.6,305,1720,FC,Cutter,26.9,1.7
 Shawn Armstrong,Armstrong, Shawn,542888,TB,R,92.3,302,1047,FC,Cutter,23.9,4.7
 Dane Dunning,Dunning, Dane,641540,TEX,R,87.1,302,2548,FC,Cutter,26.6,1.0
 David Phelps,Phelps, David,475479,TOR,R,89.8,283,1151,FC,Cutter,19.7,0.8
 Mike Clevinger,Clevinger, Mike,605182,SD,R,86.6,282,1931,FC,Cutter,31.3,4.3
 Pablo López,López, Pablo,641154,MIA,R,88.7,280,2910,FC,Cutter,28.7,2.2
 Tyler Mahle,Mahle, Tyler,641816,MIN,R,85.5,272,2101,FC,Cutter,27.0,1.7
 Duane Underwood Jr.,Underwood Jr., Duane,621249,PIT,R,92.4,272,1004,FC,Cutter,25.2,0.3
 Joey Krehbiel,Krehbiel, Joey,607216,BAL,R,86.4,271,977,FC,Cutter,31.6,6.6
 Chris Martin,Martin, Chris,455119,LAD,R,91.7,271,858,FC,Cutter,26.1,2.4
 Charlie Morton,Morton, Charlie,450203,ATL,R,88.4,271,2903,FC,Cutter,29.7,1.8
 Marcus Stroman,Stroman, Marcus,573186,CHC,R,89.4,264,2181,FC,Cutter,30.9,2.6
 Huascar Brazoban,Brazoban, Huascar,623211,MIA,R,87.7,264,631,FC,Cutter,29.0,0.8
 Walker Buehler,Buehler, Walker,621111,LAD,R,91.5,259,1046,FC,Cutter,23.4,4.5
 Trevor Gott,Gott, Trevor,641627,MIL,R,91.5,258,761,FC,Cutter,21.1,0.5
 Rich Hill,Hill, Rich,448179,BOS,L,84.2,257,1990,FC,Cutter,29.6,1.9
 George Kirby,Kirby, George,669923,SEA,R,88.3,255,2092,FC,Cutter,30.2,3.8
 Evan Phillips,Phillips, Evan,623465,LAD,R,93.3,248,923,FC,Cutter,22.0,1.1
 Spencer Howard,Howard, Spencer,675921,TEX,R,84.8,244,692,FC,Cutter,37.7,5.2
 Wade Miley,Miley, Wade,489119,CHC,L,85.1,238,566,FC,Cutter,29.7,2.9
 Daniel Castano,Castano, Daniel,641447,MIA,L,86.5,236,577,FC,Cutter,30.0,0.4
 Ranger Suárez,Suárez, Ranger,624133,PHI,L,89.7,234,2564,FC,Cutter,26.3,0.0
 Kirk McCarty,McCarty, Kirk,668948,CLE,L,88.5,231,574,FC,Cutter,25.8,2.9
 Shohei Ohtani,Ohtani, Shohei,660271,LAA,R,90.6,228,2629,FC,Cutter,27.6,3.6
 Dominic Leone,Leone, Dominic,608678,SF,R,91.4,221,826,FC,Cutter,24.7,3.5
 Zach Logue,Logue, Zach,656657,OAK,L,85.9,219,1022,FC,Cutter,29.1,1.5
 Emilio Pagán,Pagán, Emilio,641941,MIN,R,85.8,216,1126,FC,Cutter,35.1,4.4
 Gerrit Cole,Cole, Gerrit,543037,NYY,R,92.0,208,3274,FC,Cutter,24.4,0.5
 Max Scherzer,Scherzer, Max,453286,NYM,R,89.2,203,2167,FC,Cutter,26.0,0.3
 Frankie Montas,Montas, Frankie,593423,NYY,R,89.5,201,2327,FC,Cutter,27.8,4.0
 Aaron Nola,Nola, Aaron,605400,PHI,R,86.8,198,3039,FC,Cutter,29.1,0.9
 Rowan Wick,Wick, Rowan,592858,CHC,R,93.1,196,1153,FC,Cutter,16.9,2.5
 Tyler Gilbert,Gilbert, Tyler,656457,AZ,L,86.2,196,564,FC,Cutter,26.0,2.5
 Jake Bird,Bird, Jake,656234,COL,R,91.4,187,745,FC,Cutter,24.9,0.6
 Javier Assad,Assad, Javier,665871,CHC,R,88.1,186,690,FC,Cutter,28.2,3.6
 Brusdar Graterol,Graterol, Brusdar,660813,LAD,R,95.6,185,675,FC,Cutter,22.3,0.2
 Michael Lorenzen,Lorenzen, Michael,547179,LAA,R,90.4,180,1654,FC,Cutter,24.6,0.0
 Dallas Keuchel,Keuchel, Dallas,572971,TEX,L,85.2,178,1165,FC,Cutter,30.0,1.3
 Zach Eflin,Eflin, Zach,621107,PHI,R,90.0,177,1194,FC,Cutter,22.2,0.8
