name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Dylan Cease,Cease, Dylan,656302,CWS,R,87.4,1338,3120,SL,Slider,35.0,4.0
 Robbie Ray,Ray, Robbie,592662,SEA,L,87.2,1133,3047,SL,Slider,28.3,1.5
 Logan Webb,Webb, Logan,657277,SF,R,82.5,982,3006,SL,Slider,39.4,10.2
 Carlos Rodón,Rodón, Carlos,607074,SF,L,85.4,916,2985,SL,Slider,38.6,8.1
 Jakob Junis,Junis, Jakob,596001,SF,R,83.1,909,1802,SL,Slider,38.9,13.3
 Brady Singer,Singer, Brady,663903,KC,R,85.5,903,2376,SL,Slider,36.8,3.6
 Hunter Greene,Greene, Hunter,668881,CIN,R,88.1,900,2200,SL,Slider,32.0,4.6
 Chad Kuhl,Kuhl, Chad,641771,COL,R,86.5,870,2375,SL,Slider,34.4,3.0
 Shane Bieber,Bieber, Shane,669456,CLE,R,85.0,826,2875,SL,Slider,35.1,2.8
 Brad Keller,Keller, Brad,641745,KC,R,86.9,821,2275,SL,Slider,38.5,5.7
 Alex Wood,Wood, Alex,622072,SF,L,84.5,805,2239,SL,Slider,41.1,3.1
 Miles Mikolas,Mikolas, Miles,571945,STL,R,87.7,799,3152,SL,Slider,31.1,3.9
 Alek Manoah,Manoah, Alek,666201,TOR,R,81.5,798,2949,SL,Slider,41.0,14.5
 Chris Archer,Archer, Chris,502042,MIN,R,88.7,792,1787,SL,Slider,30.5,5.2
 Tanner Scott,Scott, Tanner,656945,MIA,L,89.2,791,1273,SL,Slider,35.1,5.2
 Clayton Kershaw,Kershaw, Clayton,477132,LAD,L,86.6,786,1842,SL,Slider,29.8,5.4
 Patrick Corbin,Corbin, Patrick,571578,WSH,L,81.7,771,2623,SL,Slider,39.6,2.9
 Josiah Gray,Gray, Josiah,680686,WSH,R,85.8,764,2597,SL,Slider,31.6,1.6
 Jon Gray,Gray, Jon,592351,TEX,R,84.9,744,2062,SL,Slider,32.5,10.0
 Daniel Lynch,Lynch, Daniel,663738,KC,L,85.9,740,2435,SL,Slider,33.8,0.4
 Gerrit Cole,Cole, Gerrit,543037,NYY,R,88.7,739,3274,SL,Slider,34.2,5.0
 Justin Verlander,Verlander, Justin,434378,HOU,R,87.4,739,2607,SL,Slider,31.0,4.0
 JT Brubaker,Brubaker, JT,664141,PIT,R,86.7,738,2381,SL,Slider,34.3,0.9
 Logan Gilbert,Gilbert, Logan,669302,SEA,R,86.9,730,3015,SL,Slider,31.6,6.1
 Jordan Lyles,Lyles, Jordan,543475,BAL,R,80.0,714,2988,SL,Slider,44.2,16.8
 Sandy Alcantara,Alcantara, Sandy,645261,MIA,R,90.0,714,3248,SL,Slider,30.5,0.3
 Patrick Sandoval,Sandoval, Patrick,663776,LAA,L,86.3,713,2456,SL,Slider,35.6,6.6
 Dane Dunning,Dunning, Dane,641540,TEX,R,78.7,710,2548,SL,Slider,48.6,7.5
 Cristian Javier,Javier, Cristian,664299,HOU,R,79.8,706,2554,SL,Slider,40.2,15.1
 Joe Musgrove,Musgrove, Joe,605397,SD,R,82.9,691,2834,SL,Slider,41.8,12.8
 Matt Wisler,Wisler, Matt,605538,TB,R,79.8,685,749,SL,Slider,43.7,8.1
 Andrés Muñoz,Muñoz, Andrés,662253,SEA,R,88.6,662,1024,SL,Slider,29.7,4.3
 Michael Fulmer,Fulmer, Michael,605242,MIN,R,90.3,661,1043,SL,Slider,26.7,4.2
 Steven Okert,Okert, Steven,595345,MIA,L,82.0,659,968,SL,Slider,35.9,10.2
 Drew Hutchison,Hutchison, Drew,571800,DET,R,86.0,653,1759,SL,Slider,37.2,4.5
 Lucas Giolito,Giolito, Lucas,608337,CWS,R,84.4,649,2753,SL,Slider,37.2,3.5
 Spencer Strider,Strider, Spencer,675911,ATL,R,86.3,643,2277,SL,Slider,35.6,5.2
 Kyle Freeland,Freeland, Kyle,607536,COL,L,85.5,639,2839,SL,Slider,32.6,1.4
 Zack Wheeler,Wheeler, Zack,554430,PHI,R,90.6,634,2358,SL,Slider,26.8,2.3
 Justin Steele,Steele, Justin,657006,CHC,L,82.1,629,2032,SL,Slider,43.3,14.1
 Triston McKenzie,McKenzie, Triston,663474,CLE,R,87.3,621,2807,SL,Slider,25.6,5.3
 Taylor Rogers,Rogers, Taylor,573124,MIL,L,80.9,619,1085,SL,Slider,40.4,14.1
 Glenn Otto,Otto, Glenn,657248,TEX,R,81.1,614,2229,SL,Slider,42.4,16.5
 Nick Pivetta,Pivetta, Nick,601713,BOS,R,85.8,606,3082,SL,Slider,33.6,5.8
 Dakota Hudson,Hudson, Dakota,641712,STL,R,87.8,603,2253,SL,Slider,30.7,0.4
 Kyle Bradish,Bradish, Kyle,680694,BAL,R,86.9,592,1993,SL,Slider,37.4,10.8
 Germán Márquez,Márquez, Germán,608566,COL,R,87.7,592,2839,SL,Slider,31.1,0.3
 Tarik Skubal,Skubal, Tarik,669373,DET,L,89.3,592,1914,SL,Slider,25.9,1.1
 Carlos Carrasco,Carrasco, Carlos,471911,NYM,R,84.9,581,2412,SL,Slider,35.6,2.3
 Marcus Stroman,Stroman, Marcus,573186,CHC,R,84.7,573,2181,SL,Slider,38.3,13.4
 John Brebbia,Brebbia, John,605154,SF,R,84.0,572,1091,SL,Slider,35.4,5.9
 Blake Snell,Snell, Blake,605483,SD,L,88.9,569,2341,SL,Slider,29.9,4.1
 Yu Darvish,Darvish, Yu,506433,SD,R,82.3,566,2971,SL,Slider,42.6,15.0
 Yusei Kikuchi,Kikuchi, Yusei,579328,TOR,L,86.5,566,1843,SL,Slider,34.5,3.1
 Griffin Jax,Jax, Griffin,643377,MIN,R,86.4,560,1157,SL,Slider,38.8,11.4
