name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Sean Manaea,Manaea, Sean,640455,SD,L,91.2,1508,2482,SIFT,Sinker,20.7,13.2
 Framber Valdez,Valdez, Framber,664285,HOU,L,93.9,1478,3018,SIFT,Sinker,24.2,14.4
 Cal Quantrill,Quantrill, Cal,615698,CLE,R,93.6,1319,2920,SIFT,Sinker,16.3,12.0
 Brady Singer,Singer, Brady,663903,KC,R,93.8,1276,2376,SIFT,Sinker,20.6,14.9
 Zach Davies,Davies, Zach,605200,AZ,R,89.6,1239,2292,SIFT,Sinker,21.7,14.8
 Patrick Corbin,Corbin, Patrick,571578,WSH,L,92.9,1140,2623,SIFT,Sinker,20.0,14.3
 Martín Pérez,Pérez, Martín,527048,TEX,L,92.6,1048,2979,SIFT,Sinker,21.8,16.4
 Ranger Suárez,Suárez, Ranger,624133,PHI,L,92.5,1030,2564,SIFT,Sinker,25.7,16.0
 Alex Wood,Wood, Alex,622072,SF,L,92.4,1019,2239,SIFT,Sinker,21.6,15.6
 Dane Dunning,Dunning, Dane,641540,TEX,R,89.5,1019,2548,SIFT,Sinker,28.8,15.6
 Alex Cobb,Cobb, Alex,502171,SF,R,94.8,1016,2418,SIFT,Sinker,21.4,15.8
 Chad Kuhl,Kuhl, Chad,641771,COL,R,92.8,1001,2375,SIFT,Sinker,21.8,14.4
 JT Brubaker,Brubaker, JT,664141,PIT,R,93.1,998,2381,SIFT,Sinker,21.7,16.1
 Logan Webb,Webb, Logan,657277,SF,R,91.8,990,3006,SIFT,Sinker,34.8,14.8
 Erick Fedde,Fedde, Erick,607200,WSH,R,92.5,970,2420,SIFT,Sinker,22.1,8.8
 Jordan Montgomery,Montgomery, Jordan,656756,STL,L,93.0,938,2715,SIFT,Sinker,21.9,16.9
 Chris Bassitt,Bassitt, Chris,605135,NYM,R,92.8,935,2886,SIFT,Sinker,22.5,16.0
 Adrian Houser,Houser, Adrian,605288,MIL,R,93.8,881,1848,SIFT,Sinker,22.6,16.2
 Marcus Stroman,Stroman, Marcus,573186,CHC,R,92.0,876,2181,SIFT,Sinker,29.0,9.0
 Adam Wainwright,Wainwright, Adam,425794,STL,R,88.6,869,3133,SIFT,Sinker,22.7,13.0
 José Ureña,Ureña, José,570632,COL,R,95.6,843,1622,SIFT,Sinker,22.4,14.5
 Kyle Finnegan,Finnegan, Kyle,640448,WSH,R,97.0,830,1053,SIFT,Sinker,13.8,11.6
 Sandy Alcantara,Alcantara, Sandy,645261,MIA,R,97.8,804,3248,SIFT,Sinker,21.3,17.7
 Dakota Hudson,Hudson, Dakota,641712,STL,R,91.9,796,2253,SIFT,Sinker,26.3,12.5
 Clay Holmes,Holmes, Clay,605280,NYY,R,97.0,781,981,SIFT,Sinker,23.9,16.8
 Kyle Gibson,Gibson, Kyle,502043,PHI,R,91.6,770,2739,SIFT,Sinker,25.4,14.5
 Alek Manoah,Manoah, Alek,666201,TOR,R,93.3,762,2949,SIFT,Sinker,21.1,14.7
 José Berríos,Berríos, José,621244,TOR,R,93.9,703,2721,SIFT,Sinker,20.8,16.6
 Miles Mikolas,Mikolas, Miles,571945,STL,R,93.0,701,3152,SIFT,Sinker,19.5,13.3
 Garrett Whitlock,Whitlock, Garrett,676477,BOS,R,95.3,691,1166,SIFT,Sinker,17.2,15.3
 Germán Márquez,Márquez, Germán,608566,COL,R,95.1,688,2839,SIFT,Sinker,21.0,14.3
 Jordan Hicks,Hicks, Jordan,663855,STL,R,99.4,685,1051,SIFT,Sinker,19.7,15.8
 Jason Alexander,Alexander, Jason,669920,MIL,R,92.4,658,1160,SIFT,Sinker,30.9,16.4
 Corey Kluber,Kluber, Corey,446372,TB,R,88.9,657,2454,SIFT,Sinker,26.1,16.3
 Josh Hader,Hader, Josh,623352,SD,L,97.4,655,943,SIFT,Sinker,11.3,8.5
 Kyle Wright,Wright, Kyle,657140,ATL,R,94.4,644,2697,SIFT,Sinker,25.9,16.6
 Noah Syndergaard,Syndergaard, Noah,592789,PHI,R,93.6,642,2026,SIFT,Sinker,20.8,14.1
 Aaron Ashby,Ashby, Aaron,676879,MIL,L,95.7,638,1878,SIFT,Sinker,20.1,15.4
 Drew Smyly,Smyly, Drew,592767,CHC,L,92.6,637,1814,SIFT,Sinker,14.8,8.0
 Robbie Ray,Ray, Robbie,592662,SEA,L,93.3,633,3047,SIFT,Sinker,18.8,15.4
 Kyle Freeland,Freeland, Kyle,607536,COL,L,89.6,628,2839,SIFT,Sinker,27.5,13.0
 Tim Mayza,Mayza, Tim,641835,TOR,L,93.7,603,731,SIFT,Sinker,22.4,17.1
 Cole Irvin,Irvin, Cole,608344,OAK,L,90.3,597,2610,SIFT,Sinker,21.5,14.3
 Luis Castillo,Castillo, Luis,622491,SEA,R,96.9,595,2506,SIFT,Sinker,23.3,17.8
 Bryse Wilson,Wilson, Bryse,669060,PIT,R,92.1,593,1825,SIFT,Sinker,24.3,16.2
 Mitch Keller,Keller, Mitch,656605,PIT,R,94.4,592,2661,SIFT,Sinker,19.7,14.8
 Jorge López,López, Jorge,605347,MIN,R,97.7,586,1161,SIFT,Sinker,20.6,17.2
 Jason Foley,Foley, Jason,671345,DET,R,96.3,584,961,SIFT,Sinker,23.8,17.2
 Glenn Otto,Otto, Glenn,657248,TEX,R,92.2,582,2229,SIFT,Sinker,22.4,13.9
 Paul Blackburn,Blackburn, Paul,621112,OAK,R,91.7,579,1762,SIFT,Sinker,22.5,12.9
 Jakob Junis,Junis, Jakob,596001,SF,R,91.9,577,1802,SIFT,Sinker,24.1,12.9
 Aaron Nola,Nola, Aaron,605400,PHI,R,92.2,572,3039,SIFT,Sinker,22.6,17.0
 Johnny Cueto,Cueto, Johnny,456501,CWS,R,91.4,562,2372,SIFT,Sinker,23.5,16.8
 Brandon Woodruff,Woodruff, Brandon,605540,MIL,R,95.8,545,2538,SIFT,Sinker,15.9,14.0
 Brad Keller,Keller, Brad,641745,KC,R,93.4,536,2275,SIFT,Sinker,23.5,10.4
 Dillon Tate,Tate, Dillon,622253,BAL,R,94.0,536,1077,SIFT,Sinker,25.2,17.2
 Adrian Sampson,Sampson, Adrian,592716,CHC,R,91.9,523,1694,SIFT,Sinker,21.4,14.3
 Merrill Kelly,Kelly, Merrill,518876,AZ,R,92.6,522,3071,SIFT,Sinker,24.4,16.1
 Jordan Lyles,Lyles, Jordan,543475,BAL,R,90.8,522,2988,SIFT,Sinker,20.8,13.4
